{'timestamp': 1745406257.6310387, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 296, 'rtt': 54.456, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 5, 'bytes_sent': 160728, 'bytes_retrans': 2896, 'bytes_acked': 137561, 'segs_out': 113, 'segs_in': 54, 'data_segs_out': 111, 'lastrcv': 668, 'delivered': 96, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406258.9977078, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 252, 'rtt': 51.73, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 16, 'bytes_sent': 951336, 'bytes_retrans': 5792, 'bytes_acked': 915137, 'segs_out': 659, 'segs_in': 266, 'data_segs_out': 657, 'lastrcv': 2020, 'delivered': 633, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406260.2297106, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 55.407, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 43, 'ssthresh': 16, 'bytes_sent': 2014168, 'bytes_retrans': 5792, 'bytes_acked': 1946113, 'segs_out': 1393, 'segs_in': 531, 'data_segs_out': 1391, 'lastrcv': 3260, 'delivered': 1345, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406261.3859503, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 52.175, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 5, 'ssthresh': 5, 'bytes_sent': 2313904, 'bytes_retrans': 20272, 'bytes_acked': 2274809, 'segs_out': 1600, 'segs_in': 634, 'data_segs_out': 1598, 'lastrcv': 4416, 'delivered': 1580, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406262.50617, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 55.428, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 12, 'ssthresh': 9, 'bytes_sent': 2620880, 'bytes_retrans': 23168, 'bytes_acked': 2580337, 'segs_out': 1812, 'segs_in': 710, 'data_segs_out': 1810, 'lastrcv': 5548, 'delivered': 1783, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406263.6244967, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 53.64, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 7, 'ssthresh': 6, 'bytes_sent': 3095824, 'bytes_retrans': 28960, 'bytes_acked': 3056729, 'segs_out': 2140, 'segs_in': 850, 'data_segs_out': 2138, 'lastrcv': 6672, 'delivered': 2112, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406264.7750125, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 59.361, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 12, 'bytes_sent': 3576560, 'bytes_retrans': 31856, 'bytes_acked': 3527329, 'segs_out': 2472, 'segs_in': 982, 'data_segs_out': 2470, 'lastrcv': 7824, 'delivered': 2437, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406265.9900734, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 264, 'rtt': 61.9, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 34, 'ssthresh': 12, 'bytes_sent': 4342552, 'bytes_retrans': 31856, 'bytes_acked': 4261465, 'segs_out': 3001, 'segs_in': 1177, 'data_segs_out': 2999, 'lastrcv': 9028, 'delivered': 2944, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406267.1733792, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 58.963, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 29, 'ssthresh': 22, 'bytes_sent': 5301128, 'bytes_retrans': 34752, 'bytes_acked': 5225833, 'segs_out': 3663, 'segs_in': 1379, 'data_segs_out': 3661, 'lastrcv': 10192, 'delivered': 3610, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406268.31383, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 312, 'rtt': 57.561, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 7, 'bytes_sent': 5677608, 'bytes_retrans': 46336, 'bytes_acked': 5605209, 'segs_out': 3923, 'segs_in': 1486, 'data_segs_out': 3921, 'lastrcv': 11368, 'delivered': 3872, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406269.4297435, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 59.363, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 8, 'ssthresh': 5, 'bytes_sent': 6007752, 'bytes_retrans': 55024, 'bytes_acked': 5941145, 'segs_out': 4151, 'segs_in': 1592, 'data_segs_out': 4149, 'lastrcv': 12472, 'delivered': 4104, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406270.5267334, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 56.728, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 8, 'bytes_sent': 6358168, 'bytes_retrans': 57920, 'bytes_acked': 6278529, 'segs_out': 4393, 'segs_in': 1677, 'data_segs_out': 4391, 'lastrcv': 13572, 'delivered': 4337, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745406271.6428711, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 57.111, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 9, 'ssthresh': 9, 'bytes_sent': 6898272, 'bytes_retrans': 63712, 'bytes_acked': 6792569, 'segs_out': 4766, 'segs_in': 1831, 'data_segs_out': 4764, 'lastrcv': 14672, 'delivered': 4712, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
