{'timestamp': 1745397507.1339238, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 268, 'rtt': 53.322, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 9, 'bytes_sent': 244712, 'bytes_retrans': 1448, 'bytes_acked': 212857, 'segs_out': 171, 'segs_in': 89, 'data_segs_out': 169, 'lastrcv': 764, 'delivered': 156, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397508.222755, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 55.412, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 8, 'bytes_sent': 553136, 'bytes_retrans': 7240, 'bytes_acked': 527073, 'segs_out': 384, 'segs_in': 193, 'data_segs_out': 382, 'lastrcv': 1868, 'delivered': 365, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397509.3081295, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 54.814, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 7, 'bytes_sent': 845632, 'bytes_retrans': 13032, 'bytes_acked': 815225, 'segs_out': 586, 'segs_in': 292, 'data_segs_out': 584, 'lastrcv': 2952, 'delivered': 564, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397510.405309, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 260, 'rtt': 56.654, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 10, 'bytes_sent': 1294512, 'bytes_retrans': 17376, 'bytes_acked': 1261209, 'segs_out': 896, 'segs_in': 438, 'data_segs_out': 894, 'lastrcv': 4048, 'delivered': 872, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397511.4774163, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.548, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 13, 'bytes_sent': 1711536, 'bytes_retrans': 23168, 'bytes_acked': 1668097, 'segs_out': 1184, 'segs_in': 575, 'data_segs_out': 1182, 'lastrcv': 5116, 'delivered': 1153, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397512.5734158, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.179, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 13, 'bytes_sent': 2286392, 'bytes_retrans': 23168, 'bytes_acked': 2229921, 'segs_out': 1581, 'segs_in': 761, 'data_segs_out': 1579, 'lastrcv': 6212, 'delivered': 1541, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397513.7012763, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.324, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 2657080, 'bytes_retrans': 37648, 'bytes_acked': 2602057, 'segs_out': 1837, 'segs_in': 882, 'data_segs_out': 1835, 'lastrcv': 7320, 'delivered': 1798, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397514.7849057, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.696, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 9, 'bytes_sent': 3043696, 'bytes_retrans': 40544, 'bytes_acked': 2977089, 'segs_out': 2104, 'segs_in': 1006, 'data_segs_out': 2102, 'lastrcv': 8432, 'delivered': 2057, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397515.8653982, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.004, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 12, 'bytes_sent': 3452032, 'bytes_retrans': 46336, 'bytes_acked': 3385425, 'segs_out': 2386, 'segs_in': 1135, 'data_segs_out': 2384, 'lastrcv': 9512, 'delivered': 2339, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397516.9412885, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.859, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 12, 'bytes_sent': 3995032, 'bytes_retrans': 46336, 'bytes_acked': 3915393, 'segs_out': 2761, 'segs_in': 1310, 'data_segs_out': 2759, 'lastrcv': 10588, 'delivered': 2705, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397518.027313, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.946, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 17, 'ssthresh': 16, 'bytes_sent': 4584368, 'bytes_retrans': 52128, 'bytes_acked': 4507625, 'segs_out': 3168, 'segs_in': 1505, 'data_segs_out': 3166, 'lastrcv': 11668, 'delivered': 3114, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397519.1207452, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 54.484, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 4969536, 'bytes_retrans': 56472, 'bytes_acked': 4895689, 'segs_out': 3434, 'segs_in': 1628, 'data_segs_out': 3432, 'lastrcv': 12760, 'delivered': 3382, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1745397520.2020674, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.246, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 7, 'bytes_sent': 5251896, 'bytes_retrans': 62264, 'bytes_acked': 5170809, 'segs_out': 3629, 'segs_in': 1724, 'data_segs_out': 3627, 'lastrcv': 13840, 'delivered': 3572, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
