{'timestamp': 1744946221.0210416, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 252, 'rtt': 50.99, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 8, 'bytes_sent': 470600, 'bytes_retrans': 4344, 'bytes_acked': 445985, 'segs_out': 327, 'segs_in': 200, 'data_segs_out': 325, 'lastrcv': 940, 'delivered': 309, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946222.3356197, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 53.234, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 13, 'ssthresh': 10, 'bytes_sent': 1013600, 'bytes_retrans': 10136, 'bytes_acked': 984641, 'segs_out': 702, 'segs_in': 387, 'data_segs_out': 700, 'lastrcv': 2244, 'delivered': 681, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946223.397348, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 56.608, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 7, 'ssthresh': 5, 'bytes_sent': 1245280, 'bytes_retrans': 18824, 'bytes_acked': 1216321, 'segs_out': 862, 'segs_in': 466, 'data_segs_out': 860, 'lastrcv': 3316, 'delivered': 841, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946224.4772313, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 55.181, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 8, 'bytes_sent': 1589904, 'bytes_retrans': 21720, 'bytes_acked': 1546465, 'segs_out': 1100, 'segs_in': 576, 'data_segs_out': 1098, 'lastrcv': 4388, 'delivered': 1069, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946225.5475116, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 54.88, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 11, 'ssthresh': 6, 'bytes_sent': 1985208, 'bytes_retrans': 27512, 'bytes_acked': 1943217, 'segs_out': 1373, 'segs_in': 709, 'data_segs_out': 1371, 'lastrcv': 5464, 'delivered': 1343, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946226.6345594, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 52.211, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 4, 'bytes_sent': 2254536, 'bytes_retrans': 33304, 'bytes_acked': 2202409, 'segs_out': 1559, 'segs_in': 795, 'data_segs_out': 1557, 'lastrcv': 6544, 'delivered': 1522, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946227.7311492, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 54.06, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 2696176, 'bytes_retrans': 39096, 'bytes_acked': 2639705, 'segs_out': 1864, 'segs_in': 940, 'data_segs_out': 1862, 'lastrcv': 7636, 'delivered': 1826, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946228.8242023, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 52.116, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 23, 'ssthresh': 5, 'bytes_sent': 3082792, 'bytes_retrans': 41992, 'bytes_acked': 3008945, 'segs_out': 2131, 'segs_in': 1061, 'data_segs_out': 2129, 'lastrcv': 8740, 'delivered': 2079, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946229.9228601, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 256, 'rtt': 54.836, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 22, 'ssthresh': 19, 'bytes_sent': 3921184, 'bytes_retrans': 44888, 'bytes_acked': 3844441, 'segs_out': 2710, 'segs_in': 1324, 'data_segs_out': 2708, 'lastrcv': 9848, 'delivered': 2656, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946230.9606698, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 252, 'rtt': 49.538, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 27, 'ssthresh': 13, 'bytes_sent': 4530792, 'bytes_retrans': 47784, 'bytes_acked': 4445361, 'segs_out': 3131, 'segs_in': 1524, 'data_segs_out': 3129, 'lastrcv': 10892, 'delivered': 3071, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946232.0214438, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 260, 'rtt': 57.829, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 4, 'ssthresh': 3, 'bytes_sent': 5024560, 'bytes_retrans': 57920, 'bytes_acked': 4960849, 'segs_out': 3473, 'segs_in': 1700, 'data_segs_out': 3470, 'lastrcv': 11936, 'delivered': 3427, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
