{'timestamp': 1744946518.0116806, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 356, 'rtt': 103.679, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 74, 'ssthresh': 72, 'bytes_sent': 1041112, 'bytes_retrans': 15928, 'bytes_acked': 918033, 'segs_out': 722, 'segs_in': 329, 'data_segs_out': 719, 'lastrcv': 976, 'delivered': 635, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946519.0914161, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 54.152, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 24, 'ssthresh': 20, 'bytes_sent': 2177792, 'bytes_retrans': 24616, 'bytes_acked': 2086569, 'segs_out': 1507, 'segs_in': 783, 'data_segs_out': 1504, 'lastrcv': 2088, 'delivered': 1464, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946520.1630213, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.622, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 28, 'ssthresh': 19, 'bytes_sent': 2865592, 'bytes_retrans': 26064, 'bytes_acked': 2800433, 'segs_out': 1982, 'segs_in': 1007, 'data_segs_out': 1979, 'lastrcv': 3164, 'delivered': 1935, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946521.369928, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 260, 'rtt': 56.318, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 20, 'bytes_sent': 3630136, 'bytes_retrans': 31856, 'bytes_acked': 3567873, 'segs_out': 2510, 'segs_in': 1254, 'data_segs_out': 2507, 'lastrcv': 4336, 'delivered': 2465, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946522.4374292, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.564, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 15, 'ssthresh': 14, 'bytes_sent': 4245536, 'bytes_retrans': 40544, 'bytes_acked': 4184721, 'segs_out': 2935, 'segs_in': 1459, 'data_segs_out': 2932, 'lastrcv': 5440, 'delivered': 2891, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946523.5251548, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.13, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 14, 'bytes_sent': 4734960, 'bytes_retrans': 43440, 'bytes_acked': 4666905, 'segs_out': 3273, 'segs_in': 1617, 'data_segs_out': 3270, 'lastrcv': 6516, 'delivered': 3224, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946524.6045403, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 51.841, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 11, 'bytes_sent': 5186736, 'bytes_retrans': 49232, 'bytes_acked': 5117233, 'segs_out': 3585, 'segs_in': 1763, 'data_segs_out': 3582, 'lastrcv': 7608, 'delivered': 3535, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946525.6923513, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 252, 'rtt': 50.935, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 9, 'bytes_sent': 5560320, 'bytes_retrans': 55024, 'bytes_acked': 5490817, 'segs_out': 3843, 'segs_in': 1883, 'data_segs_out': 3840, 'lastrcv': 8692, 'delivered': 3793, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946526.789261, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.076, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 9, 'bytes_sent': 6025128, 'bytes_retrans': 55024, 'bytes_acked': 5941145, 'segs_out': 4164, 'segs_in': 2026, 'data_segs_out': 4161, 'lastrcv': 9772, 'delivered': 4104, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946527.8833208, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.19, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 18, 'ssthresh': 15, 'bytes_sent': 6617360, 'bytes_retrans': 60816, 'bytes_acked': 6511657, 'segs_out': 4573, 'segs_in': 2221, 'data_segs_out': 4570, 'lastrcv': 10880, 'delivered': 4511, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946528.9628506, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.315, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 9, 'ssthresh': 9, 'bytes_sent': 6959088, 'bytes_retrans': 68056, 'bytes_acked': 6862073, 'segs_out': 4809, 'segs_in': 2335, 'data_segs_out': 4806, 'lastrcv': 11964, 'delivered': 4751, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946530.0549815, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 54.388, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 9, 'ssthresh': 8, 'bytes_sent': 7257376, 'bytes_retrans': 73848, 'bytes_acked': 7170497, 'segs_out': 5015, 'segs_in': 2432, 'data_segs_out': 5012, 'lastrcv': 13052, 'delivered': 4953, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946531.1486871, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 52.988, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 10, 'ssthresh': 5, 'bytes_sent': 7483264, 'bytes_retrans': 79640, 'bytes_acked': 7389145, 'segs_out': 5171, 'segs_in': 2504, 'data_segs_out': 5168, 'lastrcv': 14144, 'delivered': 5104, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946532.233362, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 53.539, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 21, 'ssthresh': 5, 'bytes_sent': 7956760, 'bytes_retrans': 79640, 'bytes_acked': 7848161, 'segs_out': 5498, 'segs_in': 2652, 'data_segs_out': 5495, 'lastrcv': 15236, 'delivered': 5421, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946533.3704448, 'tcp_type': 'cubic', 'wscale': 9.9, 'rto': 256, 'rtt': 55.03, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 14, 'ssthresh': 11, 'bytes_sent': 8525824, 'bytes_retrans': 88328, 'bytes_acked': 8408537, 'segs_out': 5891, 'segs_in': 2838, 'data_segs_out': 5888, 'lastrcv': 16360, 'delivered': 5814, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
{'timestamp': 1744946536.8712356, 'tcp_type': 'reno', 'wscale': 9.9, 'rto': 264, 'rtt': 62.601, 'mss': 1448, 'pmtu': 1500, 'rcvmss': 536, 'advmss': 1448, 'cwnd': 40, 'ssthresh': 30, 'bytes_sent': 2108288, 'bytes_retrans': 236024, 'bytes_acked': 1815793, 'segs_out': 1459, 'segs_in': 675, 'data_segs_out': 1456, 'lastrcv': 2072, 'delivered': 1255, 'rcv_space': 14480, 'rcv_ssthresh': 42242}
